application_id,stage_name,stage_rank,stage_date,stage_status,days_in_previous_stage
APP00018,Interview 2,5,2026-03-19,Rejected,2
APP00019,Applied,1,2026-05-29,Completed,
APP00019,Screened,2,2026-06-06,Completed,8
APP00019,Shortlisted,3,2026-06-09,Rejected,3
APP00020,Applied,1,2026-03-12,Completed,
APP00020,Screened,2,2026-03-15,Completed,3
APP00020,Shortlisted,3,2026-03-18,Completed,3
APP00020,Interview 1,4,2026-03-27,Completed,9
APP00020,Interview 2,5,2026-04-03,Completed,7
APP00020,Offer,6,2026-04-08,Completed,5
APP00020,Hired,7,2026-04-14,Completed,6
APP00021,Applied,1,2026-04-16,Completed,
APP00021,Screened,2,2026-04-22,Rejected,6
APP00022,Applied,1,2026-05-10,Completed,
APP00022,Screened,2,2026-05-12,Completed,2
APP00022,Shortlisted,3,2026-05-16,Completed,4
APP00022,Interview 1,4,2026-05-21,Completed,5
APP00022,Interview 2,5,2026-05-30,Completed,9
APP00022,Offer,6,2026-06-05,Completed,6
APP00022,Hired,7,2026-06-12,Completed,7
APP00023,Applied,1,2026-02-08,Completed,
APP00023,Screened,2,2026-02-16,Completed,8
APP00023,Shortlisted,3,2026-02-20,Completed,4
APP00023,Interview 1,4,2026-02-23,Rejected,3
APP00024,Applied,1,2026-05-15,Completed,
APP00024,Screened,2,2026-05-17,Completed,2
APP00024,Shortlisted,3,2026-05-26,Completed,9
APP00024,Interview 1,4,2026-05-30,Completed,4
APP00024,Interview 2,5,2026-06-03,Rejected,4
APP00025,Applied,1,2026-01-12,Rejected,
APP00026,Applied,1,2026-02-19,Completed,
APP00026,Screened,2,2026-02-25,Completed,6
APP00026,Shortlisted,3,2026-02-28,Completed,3
APP00026,Interview 1,4,2026-03-02,Rejected,2
APP00027,Applied,1,2026-02-13,Completed,
APP00027,Screened,2,2026-02-22,Completed,9
APP00027,Shortlisted,3,2026-02-24,Completed,2
APP00027,Interview 1,4,2026-02-27,Withdrawn,3
APP00028,Applied,1,2026-02-20,Completed,
APP00028,Screened,2,2026-02-24,Completed,4
APP00028,Shortlisted,3,2026-02-27,Completed,3
APP00028,Interview 1,4,2026-03-08,Completed,9
APP00028,Interview 2,5,2026-03-15,Completed,7
APP00028,Offer,6,2026-03-18,Rejected,3
APP00029,Applied,1,2026-05-11,Completed,
APP00029,Screened,2,2026-05-20,Completed,9
APP00029,Shortlisted,3,2026-05-28,Rejected,8
APP00030,Applied,1,2026-05-21,Completed,
APP00030,Screened,2,2026-05-29,Completed,8
APP00030,Shortlisted,3,2026-06-06,Completed,8
APP00030,Interview 1,4,2026-06-13,Completed,7
APP00030,Interview 2,5,2026-06-22,Completed,9
APP00030,Offer,6,2026-06-30,Completed,8
APP00030,Hired,7,2026-07-03,Completed,3
APP00031,Applied,1,2026-06-15,Completed,
APP00031,Screened,2,2026-06-17,Completed,2
APP00031,Shortlisted,3,2026-06-21,Completed,4
APP00031,Interview 1,4,2026-06-25,Completed,4
APP00031,Interview 2,5,2026-07-01,Rejected,6
APP00032,Applied,1,2026-01-16,Completed,
APP00032,Screened,2,2026-01-19,Completed,3
APP00032,Shortlisted,3,2026-01-25,Completed,6
APP00032,Interview 1,4,2026-01-27,Completed,2
APP00032,Interview 2,5,2026-02-04,Completed,8
APP00032,Offer,6,2026-02-09,Completed,5
APP00032,Hired,7,2026-02-17,Completed,8
APP00033,Applied,1,2026-01-19,Completed,
APP00033,Screened,2,2026-01-22,Completed,3
APP00033,Shortlisted,3,2026-01-26,Completed,4
APP00033,Interview 1,4,2026-02-03,Rejected,8
APP00034,Applied,1,2026-02-27,Completed,
APP00034,Screened,2,2026-03-05,Completed,6
APP00034,Shortlisted,3,2026-03-13,Completed,8
APP00034,Interview 1,4,2026-03-20,Completed,7
APP00034,Interview 2,5,2026-03-24,Rejected,4
APP00035,Applied,1,2026-06-06,Completed,
APP00035,Screened,2,2026-06-13,Completed,7
APP00035,Shortlisted,3,2026-06-21,Rejected,8
APP00036,Applied,1,2026-01-10,Completed,
APP00036,Screened,2,2026-01-14,Completed,4
APP00036,Shortlisted,3,2026-01-16,Completed,2
APP00036,Interview 1,4,2026-01-22,Completed,6
APP00036,Interview 2,5,2026-01-28,Active,6
APP00037,Applied,1,2026-02-14,Completed,
APP00037,Screened,2,2026-02-17,Completed,3
APP00037,Shortlisted,3,2026-02-21,Completed,4
APP00037,Interview 1,4,2026-02-25,Completed,4
APP00037,Interview 2,5,2026-03-02,Rejected,5
APP00038,Applied,1,2026-05-02,Completed,
APP00038,Screened,2,2026-05-08,Completed,6
APP00038,Shortlisted,3,2026-05-12,Rejected,4
APP00039,Applied,1,2026-04-25,Completed,
APP00039,Screened,2,2026-05-02,Completed,7
APP00039,Shortlisted,3,2026-05-10,Completed,8
APP00039,Interview 1,4,2026-05-16,Completed,6
APP00039,Interview 2,5,2026-05-21,Completed,5
APP00039,Offer,6,2026-05-29,Rejected,8
APP00040,Applied,1,2026-01-09,Completed,
APP00040,Screened,2,2026-01-12,Completed,3
APP00040,Shortlisted,3,2026-01-15,Completed,3
APP00040,Interview 1,4,2026-01-18,Rejected,3
APP00041,Applied,1,2026-03-24,Completed,
APP00041,Screened,2,2026-03-26,Completed,2
APP00041,Shortlisted,3,2026-04-01,Active,6
APP00042,Applied,1,2026-01-18,Completed,
APP00042,Screened,2,2026-01-26,Rejected,8
APP00043,Applied,1,2026-01-27,Completed,
APP00043,Screened,2,2026-01-31,Completed,4
APP00043,Shortlisted,3,2026-02-02,Completed,2
APP00043,Interview 1,4,2026-02-04,Completed,2
APP00043,Interview 2,5,2026-02-13,Rejected,9
APP00044,Applied,1,2026-03-19,Completed,
APP00044,Screened,2,2026-03-22,Rejected,3
APP00045,Applied,1,2026-02-15,Completed,
APP00045,Screened,2,2026-02-22,Completed,7
APP00045,Shortlisted,3,2026-03-03,Rejected,9
APP00046,Applied,1,2026-01-10,Completed,
APP00046,Screened,2,2026-01-16,Completed,6
APP00046,Shortlisted,3,2026-01-25,Rejected,9
APP00047,Applied,1,2026-03-28,Completed,
APP00047,Screened,2,2026-04-06,Completed,9
APP00047,Shortlisted,3,2026-04-10,Completed,4
APP00047,Interview 1,4,2026-04-15,Completed,5
APP00047,Interview 2,5,2026-04-17,Completed,2
APP00047,Offer,6,2026-04-26,Completed,9
APP00047,Hired,7,2026-04-30,Completed,4
APP00048,Applied,1,2026-01-17,Completed,
APP00048,Screened,2,2026-01-20,Completed,3
APP00048,Shortlisted,3,2026-01-24,Completed,4
APP00048,Interview 1,4,2026-01-31,Completed,7
APP00048,Interview 2,5,2026-02-04,Completed,4
APP00048,Offer,6,2026-02-12,Rejected,8
APP00049,Applied,1,2026-04-17,Completed,
APP00049,Screened,2,2026-04-26,Rejected,9
APP00050,Applied,1,2026-06-02,Completed,
APP00050,Screened,2,2026-06-10,Completed,8
APP00050,Shortlisted,3,2026-06-12,Completed,2
APP00050,Interview 1,4,2026-06-17,Rejected,5
APP00051,Applied,1,2026-02-19,Completed,
APP00051,Screened,2,2026-02-21,Completed,2
APP00051,Shortlisted,3,2026-02-23,Completed,2
APP00051,Interview 1,4,2026-03-02,Completed,7
APP00051,Interview 2,5,2026-03-06,Rejected,4
APP00052,Applied,1,2026-03-25,Completed,
APP00052,Screened,2,2026-04-02,Completed,8
APP00052,Shortlisted,3,2026-04-07,Completed,5
APP00052,Interview 1,4,2026-04-10,Active,3
APP00053,Applied,1,2026-02-19,Completed,
APP00053,Screened,2,2026-02-21,Completed,2
APP00053,Shortlisted,3,2026-02-27,Completed,6
APP00053,Interview 1,4,2026-03-03,Completed,4
APP00053,Interview 2,5,2026-03-07,Completed,4
APP00053,Offer,6,2026-03-16,Completed,9
APP00053,Hired,7,2026-03-21,Completed,5
APP00054,Applied,1,2026-03-05,Completed,
APP00054,Screened,2,2026-03-07,Completed,2
APP00054,Shortlisted,3,2026-03-15,Completed,8
APP00054,Interview 1,4,2026-03-17,Rejected,2
APP00055,Applied,1,2026-05-23,Completed,
APP00055,Screened,2,2026-05-26,Rejected,3
APP00056,Applied,1,2026-04-28,Completed,
APP00056,Screened,2,2026-05-06,Completed,8
APP00056,Shortlisted,3,2026-05-10,Completed,4
APP00056,Interview 1,4,2026-05-17,Completed,7
APP00056,Interview 2,5,2026-05-19,Completed,2
APP00056,Offer,6,2026-05-26,Completed,7
APP00056,Hired,7,2026-05-28,Completed,2
APP00057,Applied,1,2026-04-04,Completed,
APP00057,Screened,2,2026-04-08,Completed,4
APP00057,Shortlisted,3,2026-04-15,Active,7
APP00058,Applied,1,2026-05-29,Completed,
APP00058,Screened,2,2026-06-06,Completed,8
APP00058,Shortlisted,3,2026-06-12,Completed,6
APP00058,Interview 1,4,2026-06-14,Rejected,2
APP00059,Applied,1,2026-06-08,Completed,
APP00059,Screened,2,2026-06-17,Completed,9
APP00059,Shortlisted,3,2026-06-20,Completed,3
APP00059,Interview 1,4,2026-06-23,Completed,3
APP00059,Interview 2,5,2026-07-02,Completed,9
APP00059,Offer,6,2026-07-09,Rejected,7
APP00060,Applied,1,2026-05-14,Completed,
APP00060,Screened,2,2026-05-23,Completed,9
APP00060,Shortlisted,3,2026-06-01,Withdrawn,9
APP00061,Applied,1,2026-03-08,Withdrawn,
APP00062,Applied,1,2026-05-18,Completed,
APP00062,Screened,2,2026-05-22,Completed,4
APP00062,Shortlisted,3,2026-05-27,Completed,5
APP00062,Interview 1,4,2026-05-30,Rejected,3
APP00063,Applied,1,2026-02-07,Completed,
APP00063,Screened,2,2026-02-15,Completed,8
APP00063,Shortlisted,3,2026-02-24,Completed,9
APP00063,Interview 1,4,2026-02-28,Completed,4
APP00063,Interview 2,5,2026-03-06,Completed,6
APP00063,Offer,6,2026-03-13,Completed,7
APP00063,Hired,7,2026-03-16,Completed,3
APP00064,Applied,1,2026-01-07,Completed,
APP00064,Screened,2,2026-01-12,Rejected,5
APP00065,Applied,1,2026-02-20,Completed,
APP00065,Screened,2,2026-02-28,Completed,8
APP00065,Shortlisted,3,2026-03-05,Completed,5
APP00065,Interview 1,4,2026-03-14,Rejected,9
APP00066,Applied,1,2026-03-14,Completed,
APP00066,Screened,2,2026-03-23,Completed,9
APP00066,Shortlisted,3,2026-03-31,Completed,8
APP00066,Interview 1,4,2026-04-09,Completed,9
APP00066,Interview 2,5,2026-04-14,Withdrawn,5
APP00067,Applied,1,2026-05-23,Completed,
APP00067,Screened,2,2026-06-01,Rejected,9
APP00068,Applied,1,2026-05-07,Completed,
APP00068,Screened,2,2026-05-13,Completed,6
APP00068,Shortlisted,3,2026-05-22,Completed,9
APP00068,Interview 1,4,2026-05-25,Completed,3
APP00068,Interview 2,5,2026-05-31,Completed,6
APP00068,Offer,6,2026-06-06,Completed,6
APP00068,Hired,7,2026-06-15,Completed,9
APP00069,Applied,1,2026-05-29,Completed,
APP00069,Screened,2,2026-06-05,Rejected,7
APP00070,Applied,1,2026-03-16,Completed,
APP00070,Screened,2,2026-03-20,Completed,4
APP00070,Shortlisted,3,2026-03-27,Completed,7
APP00070,Interview 1,4,2026-04-03,Rejected,7
APP00071,Applied,1,2026-05-13,Completed,
APP00071,Screened,2,2026-05-18,Withdrawn,5
APP00072,Applied,1,2026-04-17,Completed,
APP00072,Screened,2,2026-04-24,Completed,7
APP00072,Shortlisted,3,2026-04-28,Completed,4
APP00072,Interview 1,4,2026-05-07,Completed,9
APP00072,Interview 2,5,2026-05-11,Rejected,4
APP00073,Applied,1,2026-01-11,Completed,
APP00073,Screened,2,2026-01-13,Completed,2
APP00073,Shortlisted,3,2026-01-16,Completed,3
APP00073,Interview 1,4,2026-01-22,Rejected,6
APP00074,Applied,1,2026-02-07,Completed,
APP00074,Screened,2,2026-02-12,Completed,5
APP00074,Shortlisted,3,2026-02-15,Rejected,3
APP00075,Applied,1,2026-02-19,Rejected,
APP00076,Applied,1,2026-05-31,Completed,
APP00076,Screened,2,2026-06-08,Completed,8
APP00076,Shortlisted,3,2026-06-13,Completed,5
APP00076,Interview 1,4,2026-06-18,Completed,5
APP00076,Interview 2,5,2026-06-27,Completed,9
APP00076,Offer,6,2026-07-06,Completed,9
APP00076,Hired,7,2026-07-09,Completed,3
APP00077,Applied,1,2026-05-22,Withdrawn,
APP00078,Applied,1,2026-05-06,Withdrawn,
APP00079,Applied,1,2026-04-04,Completed,
APP00079,Screened,2,2026-04-13,Completed,9
APP00079,Shortlisted,3,2026-04-19,Completed,6
APP00079,Interview 1,4,2026-04-25,Completed,6
APP00079,Interview 2,5,2026-05-01,Completed,6
APP00079,Offer,6,2026-05-03,Rejected,2
APP00080,Applied,1,2026-02-09,Completed,
APP00080,Screened,2,2026-02-18,Completed,9
APP00080,Shortlisted,3,2026-02-23,Completed,5
APP00080,Interview 1,4,2026-03-01,Rejected,6
APP00081,Applied,1,2026-03-22,Completed,
APP00081,Screened,2,2026-03-28,Completed,6
APP00081,Shortlisted,3,2026-04-01,Completed,4
APP00081,Interview 1,4,2026-04-10,Completed,9
APP00081,Interview 2,5,2026-04-19,Completed,9
APP00081,Offer,6,2026-04-27,Completed,8
APP00081,Hired,7,2026-05-04,Completed,7
APP00082,Applied,1,2026-03-31,Completed,
APP00082,Screened,2,2026-04-07,Completed,7
APP00082,Shortlisted,3,2026-04-14,Completed,7
APP00082,Interview 1,4,2026-04-22,Rejected,8
APP00083,Applied,1,2026-03-28,Completed,
APP00083,Screened,2,2026-04-05,Completed,8
APP00083,Shortlisted,3,2026-04-11,Completed,6
APP00083,Interview 1,4,2026-04-13,Completed,2
APP00083,Interview 2,5,2026-04-20,Completed,7
APP00083,Offer,6,2026-04-27,Completed,7
APP00083,Hired,7,2026-05-01,Completed,4
APP00084,Applied,1,2026-05-18,Completed,
APP00084,Screened,2,2026-05-21,Completed,3
APP00084,Shortlisted,3,2026-05-24,Completed,3
APP00084,Interview 1,4,2026-05-31,Completed,7
APP00084,Interview 2,5,2026-06-06,Completed,6
APP00084,Offer,6,2026-06-15,Active,9
APP00085,Applied,1,2026-02-24,Completed,
APP00085,Screened,2,2026-03-04,Completed,8
APP00085,Shortlisted,3,2026-03-06,Rejected,2
APP00086,Applied,1,2026-02-07,Completed,
APP00086,Screened,2,2026-02-12,Completed,5
APP00086,Shortlisted,3,2026-02-20,Completed,8
APP00086,Interview 1,4,2026-02-26,Completed,6
APP00086,Interview 2,5,2026-03-02,Rejected,4
APP00087,Applied,1,2026-01-08,Completed,
APP00087,Screened,2,2026-01-17,Rejected,9
APP00088,Applied,1,2026-03-22,Completed,
APP00088,Screened,2,2026-03-25,Completed,3
APP00088,Shortlisted,3,2026-04-02,Rejected,8
APP00089,Applied,1,2026-05-27,Completed,
APP00089,Screened,2,2026-06-02,Completed,6
APP00089,Shortlisted,3,2026-06-11,Completed,9
APP00089,Interview 1,4,2026-06-14,Completed,3
APP00089,Interview 2,5,2026-06-22,Rejected,8
APP00090,Applied,1,2026-01-29,Completed,
APP00090,Screened,2,2026-02-05,Completed,7
APP00090,Shortlisted,3,2026-02-14,Completed,9
APP00090,Interview 1,4,2026-02-21,Completed,7
APP00090,Interview 2,5,2026-03-01,Completed,8
APP00090,Offer,6,2026-03-03,Rejected,2
APP00091,Applied,1,2026-02-11,Completed,
APP00091,Screened,2,2026-02-17,Completed,6
APP00091,Shortlisted,3,2026-02-20,Completed,3
APP00091,Interview 1,4,2026-03-01,Rejected,9
APP00092,Applied,1,2026-04-27,Completed,
APP00092,Screened,2,2026-05-01,Rejected,4
APP00093,Applied,1,2026-03-22,Completed,
APP00093,Screened,2,2026-03-30,Completed,8
APP00093,Shortlisted,3,2026-04-06,Completed,7
APP00093,Interview 1,4,2026-04-15,Active,9
APP00094,Applied,1,2026-02-16,Completed,
APP00094,Screened,2,2026-02-21,Completed,5
APP00094,Shortlisted,3,2026-02-24,Completed,3
APP00094,Interview 1,4,2026-03-05,Rejected,9
APP00095,Applied,1,2026-05-26,Completed,
APP00095,Screened,2,2026-05-29,Completed,3
APP00095,Shortlisted,3,2026-06-03,Completed,5
APP00095,Interview 1,4,2026-06-08,Withdrawn,5
APP00096,Applied,1,2026-04-18,Completed,
APP00096,Screened,2,2026-04-27,Completed,9
APP00096,Shortlisted,3,2026-05-02,Completed,5
APP00096,Interview 1,4,2026-05-09,Completed,7
APP00096,Interview 2,5,2026-05-14,Completed,5
APP00096,Offer,6,2026-05-16,Completed,2
APP00096,Hired,7,2026-05-18,Completed,2
APP00097,Applied,1,2026-01-02,Completed,
APP00097,Screened,2,2026-01-04,Completed,2
APP00097,Shortlisted,3,2026-01-08,Completed,4
APP00097,Interview 1,4,2026-01-14,Withdrawn,6
APP00098,Applied,1,2026-03-22,Completed,
APP00098,Screened,2,2026-03-28,Completed,6
APP00098,Shortlisted,3,2026-04-03,Completed,6
APP00098,Interview 1,4,2026-04-09,Completed,6
APP00098,Interview 2,5,2026-04-11,Rejected,2
APP00099,Applied,1,2026-04-24,Completed,
APP00099,Screened,2,2026-04-27,Completed,3
APP00099,Shortlisted,3,2026-05-04,Rejected,7
APP00100,Applied,1,2026-02-13,Completed,
APP00100,Screened,2,2026-02-17,Completed,4
APP00100,Shortlisted,3,2026-02-25,Completed,8
APP00100,Interview 1,4,2026-02-28,Rejected,3
APP00101,Applied,1,2026-01-08,Completed,
APP00101,Screened,2,2026-01-10,Completed,2
APP00101,Shortlisted,3,2026-01-17,Rejected,7
APP00102,Applied,1,2026-03-25,Completed,
APP00102,Screened,2,2026-03-31,Completed,6
APP00102,Shortlisted,3,2026-04-07,Completed,7
APP00102,Interview 1,4,2026-04-09,Completed,2
APP00102,Interview 2,5,2026-04-12,Rejected,3
APP00103,Applied,1,2026-04-02,Completed,
APP00103,Screened,2,2026-04-08,Completed,6
APP00103,Shortlisted,3,2026-04-16,Rejected,8
APP00104,Applied,1,2026-04-22,Completed,
APP00104,Screened,2,2026-04-26,Completed,4
APP00104,Shortlisted,3,2026-05-05,Completed,9
APP00104,Interview 1,4,2026-05-08,Completed,3
APP00104,Interview 2,5,2026-05-13,Completed,5
APP00104,Offer,6,2026-05-21,Rejected,8
APP00105,Applied,1,2026-05-30,Completed,
APP00105,Screened,2,2026-06-03,Completed,4
APP00105,Shortlisted,3,2026-06-11,Completed,8
APP00105,Interview 1,4,2026-06-13,Completed,2
APP00105,Interview 2,5,2026-06-19,Completed,6
APP00105,Offer,6,2026-06-27,Completed,8
APP00105,Hired,7,2026-06-29,Completed,2
APP00106,Applied,1,2026-06-18,Completed,
APP00106,Screened,2,2026-06-26,Completed,8
APP00106,Shortlisted,3,2026-07-02,Completed,6
APP00106,Interview 1,4,2026-07-05,Rejected,3
APP00107,Applied,1,2026-06-10,Completed,
APP00107,Screened,2,2026-06-19,Completed,9
APP00107,Shortlisted,3,2026-06-27,Completed,8
APP00107,Interview 1,4,2026-06-29,Completed,2
APP00107,Interview 2,5,2026-07-04,Completed,5
APP00107,Offer,6,2026-07-12,Completed,8
APP00107,Hired,7,2026-07-20,Completed,8
APP00108,Applied,1,2026-05-05,Completed,
APP00108,Screened,2,2026-05-10,Completed,5
APP00108,Shortlisted,3,2026-05-12,Completed,2
APP00108,Interview 1,4,2026-05-14,Completed,2
APP00108,Interview 2,5,2026-05-21,Completed,7
APP00108,Offer,6,2026-05-30,Rejected,9
APP00109,Applied,1,2026-04-10,Completed,
APP00109,Screened,2,2026-04-15,Completed,5
APP00109,Shortlisted,3,2026-04-21,Completed,6
APP00109,Interview 1,4,2026-04-24,Rejected,3
APP00110,Applied,1,2026-02-23,Completed,
APP00110,Screened,2,2026-02-27,Completed,4
APP00110,Shortlisted,3,2026-03-01,Withdrawn,2
APP00111,Applied,1,2026-01-30,Completed,
APP00111,Screened,2,2026-02-06,Completed,7
APP00111,Shortlisted,3,2026-02-08,Completed,2
APP00111,Interview 1,4,2026-02-14,Completed,6
APP00111,Interview 2,5,2026-02-17,Completed,3
APP00111,Offer,6,2026-02-21,Completed,4
APP00111,Hired,7,2026-02-27,Completed,6
APP00112,Applied,1,2026-03-27,Completed,
APP00112,Screened,2,2026-04-01,Completed,5
APP00112,Shortlisted,3,2026-04-10,Completed,9
APP00112,Interview 1,4,2026-04-17,Completed,7
APP00112,Interview 2,5,2026-04-21,Completed,4
APP00112,Offer,6,2026-04-28,Completed,7
APP00112,Hired,7,2026-04-30,Completed,2
APP00113,Applied,1,2026-03-28,Completed,
APP00113,Screened,2,2026-03-30,Completed,2
APP00113,Shortlisted,3,2026-04-03,Completed,4
APP00113,Interview 1,4,2026-04-05,Completed,2
APP00113,Interview 2,5,2026-04-12,Completed,7
APP00113,Offer,6,2026-04-21,Completed,9
APP00113,Hired,7,2026-04-28,Completed,7
APP00114,Applied,1,2026-05-18,Completed,
APP00114,Screened,2,2026-05-23,Rejected,5
APP00115,Applied,1,2026-05-14,Completed,
APP00115,Screened,2,2026-05-20,Completed,6
APP00115,Shortlisted,3,2026-05-25,Completed,5
APP00115,Interview 1,4,2026-05-31,Completed,6
APP00115,Interview 2,5,2026-06-07,Completed,7
APP00115,Offer,6,2026-06-16,Completed,9
APP00115,Hired,7,2026-06-23,Completed,7
APP00116,Applied,1,2026-03-31,Completed,
APP00116,Screened,2,2026-04-05,Completed,5
APP00116,Shortlisted,3,2026-04-08,Completed,3
APP00116,Interview 1,4,2026-04-15,Rejected,7
APP00117,Applied,1,2026-05-02,Completed,
APP00117,Screened,2,2026-05-08,Completed,6
APP00117,Shortlisted,3,2026-05-17,Rejected,9
APP00118,Applied,1,2026-04-17,Completed,
APP00118,Screened,2,2026-04-20,Completed,3
APP00118,Shortlisted,3,2026-04-25,Completed,5
APP00118,Interview 1,4,2026-05-04,Completed,9
APP00118,Interview 2,5,2026-05-07,Completed,3
APP00118,Offer,6,2026-05-14,Completed,7
APP00118,Hired,7,2026-05-20,Completed,6
APP00119,Applied,1,2026-01-13,Completed,
APP00119,Screened,2,2026-01-22,Completed,9
APP00119,Shortlisted,3,2026-01-24,Completed,2
APP00119,Interview 1,4,2026-01-27,Completed,3
APP00119,Interview 2,5,2026-02-05,Completed,9
APP00119,Offer,6,2026-02-14,Completed,9
APP00119,Hired,7,2026-02-23,Completed,9
APP00120,Applied,1,2026-04-12,Completed,
APP00120,Screened,2,2026-04-16,Completed,4
APP00120,Shortlisted,3,2026-04-18,Rejected,2
APP00121,Applied,1,2026-06-14,Completed,
APP00121,Screened,2,2026-06-19,Completed,5
APP00121,Shortlisted,3,2026-06-28,Completed,9
APP00121,Interview 1,4,2026-06-30,Rejected,2
APP00122,Applied,1,2026-04-13,Completed,
APP00122,Screened,2,2026-04-20,Completed,7
APP00122,Shortlisted,3,2026-04-28,Rejected,8
APP00123,Applied,1,2026-05-19,Completed,
APP00123,Screened,2,2026-05-23,Completed,4
APP00123,Shortlisted,3,2026-05-25,Active,2
APP00124,Applied,1,2026-01-15,Completed,
APP00124,Screened,2,2026-01-23,Completed,8
APP00124,Shortlisted,3,2026-01-26,Completed,3
APP00124,Interview 1,4,2026-01-28,Completed,2
APP00124,Interview 2,5,2026-02-05,Completed,8
APP00124,Offer,6,2026-02-14,Completed,9
APP00124,Hired,7,2026-02-16,Completed,2
APP00125,Applied,1,2026-03-05,Completed,
APP00125,Screened,2,2026-03-08,Completed,3
APP00125,Shortlisted,3,2026-03-13,Completed,5
APP00125,Interview 1,4,2026-03-17,Completed,4
APP00125,Interview 2,5,2026-03-19,Completed,2
APP00125,Offer,6,2026-03-25,Completed,6
APP00125,Hired,7,2026-04-02,Completed,8
APP00126,Applied,1,2026-02-11,Completed,
APP00126,Screened,2,2026-02-17,Completed,6
APP00126,Shortlisted,3,2026-02-25,Completed,8
APP00126,Interview 1,4,2026-03-02,Completed,5
